,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,PlayScore,GameScore,CriticScore,GlobalSellers,TopSellers,TopRated,Critc_Count
0,323,2,2013,0,81,7.02,9.09,0.98,3.96,21.04,60,50,8.2,3994,303,2,9.29,9.34,9.24,0,1,1,46
1,109,2,2012,8,3,4.99,5.73,0.65,2.42,13.79,46,21,5.3,922,380,2,7.73,7.52,7.95,3,1,0,17
2,113,2,2011,8,3,5.54,5.73,0.49,1.57,13.32,51,39,3.2,5234,184,2,8.0,7.56,8.44,3,1,1,35
3,457,0,2011,6,56,5.03,4.02,2.69,0.91,12.66,48,73,8.2,632,300,0,9.09,9.77,8.41,3,1,1,69
4,108,2,2010,8,3,5.99,4.37,0.48,1.79,12.63,51,58,6.4,1094,380,2,8.16,7.91,8.41,3,1,1,54
5,323,3,2014,0,81,3.96,6.31,0.38,1.97,12.61,60,66,8.3,2899,303,2,9.32,9.29,9.35,3,1,1,62
6,756,0,2011,4,56,4.89,3.0,2.14,0.78,10.81,53,82,8.4,921,250,0,9.22,9.76,8.67,4,1,1,78
7,317,2,2010,6,70,2.96,4.82,0.81,2.11,10.7,47,82,7.5,1112,277,0,8.22,8.11,8.32,4,1,1,78
8,112,2,2009,8,3,4.99,3.64,0.38,1.6,10.6,57,67,6.3,2073,183,2,8.65,8.53,8.78,4,1,1,63
9,322,2,2008,0,81,4.76,3.69,0.44,1.61,10.5,61,64,7.5,2833,303,2,8.93,8.88,8.98,4,1,1,60
10,555,0,2012,4,56,3.66,3.14,2.47,0.63,9.9,41,70,7.2,424,250,0,8.62,9.74,7.51,5,1,0,66
11,110,2,2013,8,3,4.1,3.63,0.38,1.25,9.36,34,10,2.6,1047,183,2,7.58,7.75,7.42,5,1,0,6
12,23,0,2012,9,56,2.03,2.36,4.39,0.39,9.16,51,70,8.7,626,250,0,9.12,9.68,8.57,5,1,1,66
13,263,3,2015,10,27,1.12,6.12,0.06,1.28,8.57,45,42,4.3,896,110,0,8.46,8.71,8.21,5,1,0,38
14,269,2,2012,0,27,1.06,5.01,0.13,1.97,8.16,51,37,6.6,348,120,0,8.6,8.65,8.55,5,1,1,33
15,821,1,2009,9,27,0.99,6.42,0.0,0.6,8.01,49,75,7.6,886,372,3,8.12,8.35,7.88,5,1,1,71
16,107,3,2014,8,3,2.81,3.48,0.14,1.23,7.66,46,39,5.7,1443,330,2,8.33,8.48,8.17,6,1,0,35
17,264,3,2016,10,27,0.66,5.75,0.08,1.11,7.59,48,41,5.0,398,112,0,8.62,8.81,8.43,6,1,1,37
